fips,TOT_POP,0-9,19-Oct,20-29,30-39,40-49,50-59,60-69,70-79,80+,White-alone pop,Black-alone pop,Native American/American Indian-alone pop,Asian-alone pop,Hawaiian/Pacific Islander-alone pop,Two or more races pop,POP_ESTIMATE_2018,N_POP_CHG_2018,GQ_ESTIMATES_2018,R_birth_2018,R_death_2018,R_NATURAL_INC_2018,R_INTERNATIONAL_MIG_2018,R_DOMESTIC_MIG_2018,R_NET_MIG_2018,Less than a high school diploma 2014-18,High school diploma only 2014-18,Some college or associate's degree 2014-18,Bachelor's degree or higher 2014-18,POVALL_2018,MEDHHINC_2018,CI90LBINC_2018,CI90UBINC_2018,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Median_Household_Income_2018,Active Physicians per 100000 Population 2018 (AAMC),Total Active Patient Care Physicians per 100000 Population 2018 (AAMC),Active Primary Care Physicians per 100000 Population 2018 (AAMC),Active Patient Care Primary Care Physicians per 100000 Population 2018 (AAMC),Active General Surgeons per 100000 Population 2018 (AAMC),Active Patient Care General Surgeons per 100000 Population 2018 (AAMC),Total nurse practitioners (2019),Total physician assistants (2019),Total Hospitals (2019),Internal Medicine Primary Care (2019),Family Medicine/General Practice Primary Care (2019),Total Specialist Physicians (2019),ICU Beds_x,Total Population,Population Aged 60+,COUNTY_NAME,STATE_NAME,STATE_FIPS,CNTY_FIPS,county_pop2018_18 and older,anycondition_prevalence,Obesity_prevalence,Obesity_number,Heart disease_prevalence,Heart disease_number,COPD_prevalence,COPD_number,diabetes_prevalence,diabetes_number,CKD_prevalence,CKD_number,Urban_rural_code
18153,20690,2116,2323,2779,2772,2823,2817,2538,1639,883,19273,989,71,56,2,299,20690,-9,2228,9.2,9.9,-0.6,-0.1,0.3,0.2,1675,6652,4942,1607,2513,47554,43090,52018,8616,8214,402,47554,230.8,212.0,80.3,74.4,6.5,6.1,10.67601203,2.612577516,0.408118618,8.134546087,10.27407702,26.91727793,4,20900,4547,569,14,18,153,16711,50.7,40.5,6768,8.3,1389,10.6,1775,13.4,2246,3.2,537,4
51700,178626,24558,22777,31206,26026,19084,21647,17480,10013,5835,87155,76222,1035,6023,422,7769,178626,-772,7956,14.8,8.4,6.4,1.7,-12.4,-10.7,11493,33256,41869,29640,26007,50283,47579,52987,88872,85665,3207,50283,263.2,231.8,90.3,81.7,7.3,6.3,93.90899382,44.08144373,2.013234347,89.08561986,78.20157167,246.453438,88,180775,31311,1747,46,51,700,137347,45.6,37.4,51368,6.3,8608,6.8,9392,12.3,16897,3.0,4131,2
37131,19676,1788,1980,2204,1834,2062,2913,3349,2289,1257,7916,11305,126,58,6,265,19676,-237,745,9.6,15.2,-5.6,1.0,-7.2,-6.3,3088,5964,4052,1925,4043,37233,33929,40537,7628,7236,392,37233,255.0,223.5,86.2,78.1,7.1,6.2,8.938278943,8.038197854,0.212229646,9.578757697,7.625108007,28.38382029,0,20426,6480,1229,33,37,131,16258,57.8,41.7,6780,11.5,1870,11.9,1935,20.5,3331,5.0,819,5
54023,11626,1255,1235,1249,1114,1427,1667,1667,1336,676,11343,128,19,22,1,113,11626,-23,126,10.4,10.8,-0.4,-0.3,-1.1,-1.4,1640,3869,1798,1231,1703,42146,37663,46629,5799,5470,329,42146,263.4,231.6,100.1,89.4,10.5,9.2,6.064623952,4.300603821,0.360529662,6.283516961,7.989594824,18.04579717,3,11673,3470,130,48,54,23,9369,56.8,39.3,3682,12.1,1136,14.6,1366,17.0,1589,4.0,370,6
21189,4472,547,539,487,526,541,634,632,374,192,4385,25,14,4,3,41,4472,56,90,11.9,13.5,-1.6,-0.2,14.2,14.0,961,1152,498,504,1706,26278,23406,29150,1171,1088,83,26278,230.9,214.6,77.3,72.9,8.3,7.6,2.936362485,0.986793937,0.105084547,1.976590289,1.901529898,6.461198433,0,4497,1077,735,17,21,189,3463,60.8,44.5,1541,12.9,445,16.5,571,18.0,623,4.3,149,6
37045,97645,11340,12734,12498,10322,11913,13956,12595,8415,3872,74071,20391,368,1013,31,1771,97645,417,1943,10.7,12.4,-1.7,1.1,5.0,6.1,10650,23073,21169,11566,18301,42728,39498,45958,47966,46071,1895,42728,255.0,223.5,86.2,78.1,7.1,6.2,44.35750393,39.89072116,1.053220361,47.53597252,37.84070295,140.8588195,57,97038,23687,118,33,37,45,76149,50.0,36.6,27871,9.2,7035,10.3,7875,14.5,11066,3.7,2832,5
31117,492,30,77,40,36,61,85,78,51,34,484,2,0,0,0,6,492,-2,0,4.1,4.1,0.0,0.0,-2.0,-2.0,37,84,133,84,57,53207,47430,58984,440,429,11,53207,239.2,214.5,88.2,80.3,6.8,6.2,0.266494857,0.20962562,0.023716767,0.227986988,0.321323943,0.700027161,0,432,115,655,27,31,117,401,44.7,35.4,142,9.0,36,8.5,34,12.2,49,3.6,14,5
27027,63955,9229,9369,10804,9009,7060,6776,5882,3329,2497,57744,2503,1174,915,50,1569,63955,273,2921,14.1,7.4,6.7,1.3,-3.8,-2.5,1950,9675,13699,12747,7220,65914,61579,70249,35791,34766,1025,65914,302.7,265.0,104.9,96.0,7.4,6.6,32.82561472,20.6527826,1.447518427,36.64387199,39.96062681,106.9453969,0,62040,10982,13,23,27,27,48151,33.7,29.0,13964,5.3,2567,4.6,2225,7.9,3819,2.4,1165,4
41041,49388,4585,4662,4299,5139,5022,6736,10046,6220,2679,44311,424,1944,673,109,1927,49388,568,822,8.7,12.6,-3.8,0.8,14.6,15.3,3468,10126,14354,8886,6639,49265,46986,51544,21215,20184,1031,49265,303.4,271.5,109.4,101.0,9.2,8.3,24.76050925,13.6471536,0.718891511,30.2759392,23.31094112,72.6198277,0,47307,17261,138,37,41,41,41030,46.4,32.6,13376,9.9,4055,10.1,4140,13.9,5704,4.0,1623,5
31169,5039,622,635,482,470,507,658,762,492,411,4908,24,21,17,1,68,5039,3,121,10.1,15.9,-5.8,0.0,6.4,6.4,267,1280,1369,721,528,51299,46449,56149,2866,2802,64,51299,239.2,214.5,88.2,80.3,6.8,6.2,2.729405661,2.146958328,0.242904044,2.335013072,3.290958021,7.169587118,0,5133,1792,1102,27,31,169,3882,43.7,35.3,1370,8.4,328,7.7,299,11.4,443,3.4,131,6
